number,value,datetime_start,datetime_complete,duration,params_class_weight,params_class_weight_fine,params_ent_weight,params_gamma,params_gene_dim,params_gene_num_head,params_gene_num_top_feature,params_gig_dim,params_gig_input_transform_dim,params_gig_num_head,params_link_weight,params_lr,params_ortho_weight,params_weight_decay,system_attrs_fixed_params,state
0,0.1111111111111111,2026-03-17 16:08:18.915487,2026-03-17 16:13:21.820024,0 days 00:05:02.904537,0.6922227892609247,0.8272594310024475,0.003442632020789531,0.8183120107742103,12,3,10,12,18,6,0.004028619153576751,0.0034887413243993325,0.08025991801539438,6.023015542903655e-07,"{'lr': 0.0034887413243993325, 'weight_decay': 6.023015542903655e-07, 'gamma': 0.8183120107742103, 'gene_dim': 12, 'gene_num_head': 3, 'gene_num_top_feature': 10, 'gig_dim': 12, 'gig_num_head': 6, 'gig_input_transform_dim': 18, 'class_weight': 0.6922227892609247, 'class_weight_fine': 0.8272594310024475, 'ortho_weight': 0.08025991801539438, 'link_weight': 0.004028619153576751, 'ent_weight': 0.003442632020789531}",COMPLETE
1,0.13271604938271603,2026-03-17 16:13:21.838343,2026-03-17 16:23:00.825448,0 days 00:09:38.987105,0.622891433097967,0.8315458326236578,0.05615038227040486,0.9371078399137689,12,2,10,12,18,3,0.006889207645305113,0.006478391197238725,0.13327872365664767,1.1289205726488299e-07,"{'lr': 0.006478391197238725, 'weight_decay': 1.1289205726488299e-07, 'gamma': 0.9371078399137689, 'gene_dim': 12, 'gene_num_head': 2, 'gene_num_top_feature': 10, 'gig_dim': 12, 'gig_num_head': 3, 'gig_input_transform_dim': 18, 'class_weight': 0.622891433097967, 'class_weight_fine': 0.8315458326236578, 'ortho_weight': 0.13327872365664767, 'link_weight': 0.006889207645305113, 'ent_weight': 0.05615038227040486}",COMPLETE
2,0.05555555555555555,2026-03-17 16:23:00.842046,2026-03-17 16:27:01.901160,0 days 00:04:01.059114,0.6628763974089743,0.15338355496091555,0.018164545674576642,0.8254784185893735,12,6,4,24,18,2,0.007822299760278017,0.00018188868105420273,0.14108311369304208,1.234011068158895e-07,"{'lr': 0.00018188868105420273, 'weight_decay': 1.234011068158895e-07, 'gamma': 0.8254784185893735, 'gene_dim': 12, 'gene_num_head': 6, 'gene_num_top_feature': 4, 'gig_dim': 24, 'gig_num_head': 2, 'gig_input_transform_dim': 18, 'class_weight': 0.6628763974089743, 'class_weight_fine': 0.15338355496091555, 'ortho_weight': 0.14108311369304208, 'link_weight': 0.007822299760278017, 'ent_weight': 0.018164545674576642}",COMPLETE
3,0.05555555555555555,2026-03-17 16:27:01.929560,2026-03-17 16:30:59.573763,0 days 00:03:57.644203,0.6711943155365934,0.7769390512908666,0.018101752744376837,0.8252879668352909,6,2,4,24,24,2,0.00803267093081917,0.00010650737878827996,0.08087050607241733,1.7133149410596685e-06,"{'lr': 0.00010650737878827996, 'weight_decay': 1.7133149410596685e-06, 'gamma': 0.8252879668352909, 'gene_dim': 6, 'gene_num_head': 2, 'gene_num_top_feature': 4, 'gig_dim': 24, 'gig_num_head': 2, 'gig_input_transform_dim': 24, 'class_weight': 0.6711943155365934, 'class_weight_fine': 0.7769390512908666, 'ortho_weight': 0.08087050607241733, 'link_weight': 0.00803267093081917, 'ent_weight': 0.018101752744376837}",COMPLETE
4,0.05555555555555555,2026-03-17 16:30:59.582399,2026-03-17 16:34:55.869799,0 days 00:03:56.287400,0.6237787994707901,0.8183970653915462,0.016088263160992433,0.9718727174594632,6,2,4,24,24,2,0.012926011221597356,0.00012705404413956227,0.1144379789957523,1.023583934229253e-07,"{'lr': 0.00012705404413956227, 'weight_decay': 1.023583934229253e-07, 'gamma': 0.9718727174594632, 'gene_dim': 6, 'gene_num_head': 2, 'gene_num_top_feature': 4, 'gig_dim': 24, 'gig_num_head': 2, 'gig_input_transform_dim': 24, 'class_weight': 0.6237787994707901, 'class_weight_fine': 0.8183970653915462, 'ortho_weight': 0.1144379789957523, 'link_weight': 0.012926011221597356, 'ent_weight': 0.016088263160992433}",COMPLETE
5,0.05555555555555555,2026-03-17 16:34:55.887142,2026-03-17 16:38:53.553816,0 days 00:03:57.666674,0.6654862788202558,0.8066583652537123,0.05924145688620425,0.8706433518818512,6,1,4,24,12,2,0.01033794613121777,0.0013292918943162175,0.007132351147931055,6.0554506154104676e-05,,COMPLETE
6,0.09567901234567901,2026-03-17 16:38:53.570614,2026-03-17 16:43:06.098384,0 days 00:04:12.527770,0.8246906254159254,0.6381099809299766,0.019598286241914523,0.6205924539143041,18,3,8,12,18,6,0.001494754415865546,0.000137832374550072,0.14444409385666263,1.8418849688957714e-06,,COMPLETE
7,0.07716049382716049,2026-03-17 16:43:06.117974,2026-03-17 16:47:23.225780,0 days 00:04:17.107806,0.6200672806737014,0.1572025152574213,0.0729606178338064,0.7177470885758112,12,3,4,18,24,3,0.004380177009360884,0.0001366727291545623,0.011339420467483537,1.0418679141117674e-07,,COMPLETE
8,0.12654320987654322,2026-03-17 16:47:23.249247,2026-03-17 16:52:15.517918,0 days 00:04:52.268671,0.5584995983458104,0.9367278871083158,0.08714605901877177,0.7549506213209294,18,1,8,12,12,2,0.017763171254761963,0.008178476574339543,0.08993278607504031,3.1728948587840064e-05,,COMPLETE
9,0.10185185185185185,2026-03-17 16:52:15.533121,2026-03-17 16:56:32.593848,0 days 00:04:17.060727,0.849226712812559,0.3266040662428278,0.028484049437746763,0.9421510898023464,18,6,4,12,36,3,0.003922337636983294,0.025764174425233172,0.02463474384324276,2.537826606087331e-08,,COMPLETE
