number,value,datetime_start,datetime_complete,duration,params_class_weight,params_class_weight_fine,params_ent_weight,params_gamma,params_gene_dim,params_gene_num_head,params_gene_num_top_feature,params_gig_dim,params_gig_input_transform_dim,params_gig_num_head,params_link_weight,params_lr,params_ortho_weight,params_weight_decay,system_attrs_fixed_params,state
10,0.1111111111111111,2026-03-17 16:56:32.622259,2026-03-17 17:01:43.764703,0 days 00:05:11.142444,0.5044671425652455,0.5229510326237459,0.04343562717564114,0.5480106428082242,24,2,10,18,36,3,0.06401564508377026,0.07299191439456679,0.035599913757676786,4.039153740596213e-09,,COMPLETE
11,0.1388888888888889,2026-03-17 17:01:43.780557,2026-03-17 17:08:19.547730,0 days 00:06:35.767173,0.5313392066398015,0.9905548814181808,0.09960165317474354,0.7348641444529486,18,1,8,12,12,3,0.033326635888563785,0.006653587428492113,0.041434109388605714,5.645796534621721e-05,,COMPLETE
12,0.43827160493827155,2026-03-17 17:08:19.570149,2026-03-17 17:12:33.049754,0 days 00:04:13.479605,0.543609860004377,0.9955301380031186,0.09497026996603936,0.6921418970481249,24,1,10,12,12,3,0.034839717550933395,0.0013389021041494019,0.04277353106259085,1.088493908006218e-05,,COMPLETE
13,0.11728395061728394,2026-03-17 17:12:33.064295,2026-03-17 17:16:46.937269,0 days 00:04:13.872974,0.5271491016157095,0.9988279800145864,0.09650873644291452,0.6875402466725743,24,1,8,12,12,3,0.040560920420421864,0.0012149603031242117,0.03479813130761785,1.1792406895575754e-05,,COMPLETE
14,0.43827160493827155,2026-03-17 17:16:46.953405,2026-03-17 17:21:14.611295,0 days 00:04:27.657890,0.5646422079894349,0.6396238509039598,0.08139937055778315,0.658239248549482,24,1,10,12,12,3,0.03042486991000596,0.0006707750736544796,0.017111676054242696,1.1304615437460489e-05,,COMPLETE
15,0.41666666666666663,2026-03-17 17:21:14.630589,2026-03-17 17:25:26.688876,0 days 00:04:12.058287,0.5755422584766847,0.5372930573469025,0.08037859333425125,0.645269455875856,24,1,10,12,12,3,0.08514622760235885,0.0005668444134863836,0.0032879776998632373,6.975588053064734e-06,,COMPLETE
16,0.41666666666666663,2026-03-17 17:25:26.709415,2026-03-17 17:29:38.748906,0 days 00:04:12.039491,0.7639889457106454,0.679437683226827,0.06851393637624051,0.577963303530484,24,1,10,18,12,3,0.023830911610628443,0.00048015547630077504,0.016269514980380297,7.653642769063126e-06,,COMPLETE
17,0.09259259259259259,2026-03-17 17:29:38.763621,2026-03-17 17:31:44.960316,0 days 00:02:06.196695,0.5714371682973497,0.3991749066098207,0.08563612473823046,0.6591120009119548,24,1,10,12,12,6,0.0563626444165174,0.001156551383808201,0.008275632641915547,2.1692251019127634e-06,,PRUNED
18,0.43827160493827155,2026-03-17 17:31:44.977637,2026-03-17 17:35:57.628248,0 days 00:04:12.650611,0.7172950052946022,0.4072169421770584,0.04068509435432367,0.6035380635362592,24,1,10,12,12,3,0.02558985320617143,0.00040595868214048336,0.05235734843805525,1.7303433983819737e-05,,COMPLETE
19,0.33024691358024694,2026-03-17 17:35:57.643357,2026-03-17 17:51:19.911941,0 days 00:15:22.268584,0.6091017412957505,0.6586605075681532,0.06799943647709955,0.686157801199344,24,6,10,18,36,3,0.04389718336220418,0.002436286607363121,0.019978978567729403,9.94048365929655e-05,,COMPLETE
20,0.0,2026-03-17 17:51:19.929515,2026-03-17 17:53:24.072640,0 days 00:02:04.143125,0.7460757956319698,0.9097208480764516,0.07916642042648048,0.7116470033506498,24,1,10,12,12,6,0.01855728306327081,0.0003419093928694979,0.0047178431400032245,4.930838777991819e-07,,PRUNED
21,0.41666666666666663,2026-03-17 17:53:24.088688,2026-03-17 17:57:35.972931,0 days 00:04:11.884243,0.7258593256041008,0.38497063095917367,0.04193074271113776,0.6077546806476264,24,1,10,12,12,3,0.02550286561307826,0.0002962741039877141,0.0534236571432501,1.958723506814349e-05,,COMPLETE
22,0.09259259259259259,2026-03-17 17:57:35.991219,2026-03-17 17:59:41.734161,0 days 00:02:05.742942,0.7806409293482582,0.3064985137063605,0.03565762861610753,0.6070284307444714,24,1,10,12,12,3,0.030347007758225398,0.0006481774463149087,0.05141362148994159,4.624244799158713e-06,,PRUNED
23,0.0,2026-03-17 17:59:41.750664,2026-03-17 18:01:45.479839,0 days 00:02:03.729175,0.7018352864557722,0.4761282067681806,0.05303861979068758,0.5472669775079423,24,1,10,12,12,3,0.09317979972283176,0.0022484714539068185,0.013643308726063752,2.7099964610762813e-05,,PRUNED
24,0.0,2026-03-17 18:01:45.495970,2026-03-17 18:03:49.299243,0 days 00:02:03.803273,0.5916508370704373,0.2492327578525496,0.090328574875772,0.6633089259656108,24,1,10,12,12,3,0.020605345638213965,0.0009446394262476568,0.02415146689577474,3.2077986736321214e-06,,PRUNED
25,0.0,2026-03-17 18:03:49.321503,2026-03-17 18:05:52.681087,0 days 00:02:03.359584,0.540314595413558,0.606154675273705,0.06177512742561296,0.7764166767264772,24,1,10,12,12,3,0.014458862502158595,0.0002668474879923899,0.19341010897842043,1.6983815456511293e-05,,PRUNED
26,0.09259259259259259,2026-03-17 18:05:52.697336,2026-03-17 18:07:57.610909,0 days 00:02:04.913573,0.6455799169523313,0.24006570318452244,0.04518508450394502,0.6297258765403149,24,1,10,12,12,3,0.05444734071485479,0.003717503319482363,0.05767305541542672,9.365095964396743e-07,,PRUNED
27,0.0,2026-03-17 18:07:57.627255,2026-03-17 18:09:59.946660,0 days 00:02:02.319405,0.5000622524850796,0.7149155729639926,0.0921222499167143,0.5867250816843955,24,6,10,12,24,3,0.03797408237144151,0.0007763421341402352,0.03310097992846217,1.2095119981138043e-05,,PRUNED
28,0.09259259259259259,2026-03-17 18:09:59.963756,2026-03-17 18:12:01.058003,0 days 00:02:01.094247,0.7208857845876018,0.48359324162462763,0.0779038781942378,0.7805980490041109,6,3,10,24,36,6,0.02832844263871424,0.0019741838044741943,0.011175808469661161,4.387610233517122e-05,,PRUNED
29,0.1111111111111111,2026-03-17 18:12:01.073993,2026-03-17 18:15:24.751969,0 days 00:03:23.677976,0.6956496985763625,0.5832954418856322,0.0665136411853188,0.6803239603790433,12,3,10,18,12,3,0.012573637258498905,0.00041257421507528584,0.06809008159456499,6.591845492405702e-07,,PRUNED
30,0.12962962962962962,2026-03-17 18:15:24.767102,2026-03-17 18:21:29.957692,0 days 00:06:05.190590,0.7984678180384074,0.4310545184395374,0.002150804994676757,0.5722196771736009,24,1,8,12,18,6,0.001135965721844475,0.00385574259124451,0.016618456949971,2.5900019473876964e-07,,COMPLETE
31,0.4444444444444444,2026-03-17 18:21:29.978892,2026-03-17 18:27:13.857232,0 days 00:05:43.878340,0.5684441319452062,0.5437359717235607,0.07565948748502206,0.6421074640238834,24,1,10,12,12,3,0.09045295498688474,0.0006949049450667173,0.0033533390983657564,6.682702067974101e-06,,COMPLETE
32,0.12654320987654322,2026-03-17 18:27:13.874348,2026-03-17 18:31:48.241376,0 days 00:04:34.367028,0.5576378898019902,0.7377666341497603,0.08216022132174729,0.64920115399621,24,1,10,12,12,3,0.07075111531000837,0.001558266138843421,0.0031847288790932504,5.270829008316664e-06,,COMPLETE
33,0.0,2026-03-17 18:31:48.258479,2026-03-17 18:33:51.933869,0 days 00:02:03.675390,0.59809459813114,0.88398727071486,0.09517437075390256,0.7227350935817937,24,1,10,12,12,3,0.04386538582808675,0.0008030447549959879,0.00481333195687851,1.0202055303120183e-05,,PRUNED
34,0.0,2026-03-17 18:33:51.950767,2026-03-17 18:35:53.344615,0 days 00:02:01.393848,0.6362060999009944,0.4434967878792816,0.049805323822328086,0.6948856875548264,12,2,10,12,18,3,0.04905824037150297,0.00021290765490355502,0.04167059237706263,3.809403969879429e-06,,PRUNED
35,0.12345679012345678,2026-03-17 18:35:53.360771,2026-03-17 18:40:05.369250,0 days 00:04:12.008479,0.582370788349955,0.5755547539506863,0.07331677548404766,0.6259767916496617,24,1,10,24,12,2,0.07094456090106895,0.0004910931937180387,0.10669024975075303,2.7548999347449145e-05,,COMPLETE
36,0.11728395061728394,2026-03-17 18:40:05.385340,2026-03-17 18:43:34.644214,0 days 00:03:29.258874,0.5492037270218393,0.34939748177786406,0.03409664841763417,0.8567904345892783,6,6,10,12,24,3,0.005935512899946673,0.010616971622935883,0.07269011356855665,1.0397642711713233e-06,,PRUNED
37,0.12345679012345678,2026-03-17 18:43:34.660222,2026-03-17 18:46:37.676142,0 days 00:03:03.015920,0.5142594548259815,0.7646105843880091,0.061192737644211535,0.6009164164620231,24,2,4,24,12,2,0.03249369970716282,0.00021470467110155171,0.00714942266704648,2.796492667165255e-06,,PRUNED
38,0.12654320987654322,2026-03-17 18:46:37.692315,2026-03-17 18:51:34.883925,0 days 00:04:57.191610,0.6523101032065886,0.11342440574035612,0.010412959221983993,0.7430856717102217,12,1,10,12,18,3,0.010498383117497359,0.0016350839226484996,0.02637208217646752,1.7446530543235384e-05,,COMPLETE
39,0.09259259259259259,2026-03-17 18:51:34.901009,2026-03-17 18:53:36.195186,0 days 00:02:01.294177,0.681578679962773,0.5055026440209245,0.0864638543445205,0.6679721157359648,6,3,10,12,12,3,0.022910735819418094,0.0009510068079412215,0.004751100986954713,8.774865608318684e-05,,PRUNED
